Railway: Thameslink Core; Timetable: Thameslink Core Monday 29.06.2026;  Start time: 04:00

Peterborough - Horsham [TL] - Class 700/1; Mass 410Te; Power 5000kW; Brake force 152Te; Maximum speed 161 km/h
,9J01,9J03,9J05,9J07,9J09,9J11,9J13,9J15,9J17,9J19,9J21,9J23,9J25,9J27,9J29,9J31,9J33,9J35,9J37,9J39,9J41,9J43,9J45,9J47,9J49,9J51,9J53,9J55,9J57,9J59,9J61,9J63,9J65,9J67,9J69,9J71

Enters at T/F Finsbury Park,05:41,06:11,06:41,07:11,07:41,08:11,08:41,09:11,09:41,10:11,10:41,11:11,11:41,12:11,12:41,13:11,13:41,14:11,14:41,15:11,15:41,16:11,16:41,17:11,17:41,18:11,18:41,19:11,19:41,20:11,20:41,21:11,21:41,22:11,22:41,23:11
Arrives at St. Pancras,05:44,06:14,06:44,07:14,07:44,08:14,08:44,09:14,09:44,10:14,10:44,11:14,11:44,12:14,12:44,13:14,13:44,14:14,14:44,15:14,15:44,16:14,16:44,17:14,17:44,18:14,18:44,19:14,19:44,20:14,20:44,21:14,21:44,22:14,22:44,23:14
Departs from St. Pancras,05:45,06:15,06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,18:15,18:45,19:15,19:45,20:15,20:45,21:15,21:45,22:15,22:45,23:15
Passes Kings Cross TL (Closed),05:46,06:16,06:46,07:16,07:46,08:16,08:46,09:16,09:46,10:16,10:46,11:16,11:46,12:16,12:46,13:16,13:46,14:16,14:46,15:16,15:46,16:16,16:46,17:16,17:46,18:16,18:46,19:16,19:46,20:16,20:46,21:16,21:46,22:16,22:46,23:16
Arrives at Farringdon,05:48,06:18,06:48,07:18,07:48,08:18,08:48,09:18,09:48,10:18,10:48,11:18,11:48,12:18,12:48,13:18,13:48,14:18,14:48,15:18,15:48,16:18,16:48,17:18,17:48,18:18,18:48,19:18,19:48,20:18,20:48,21:18,21:48,22:18,22:48,23:18
Departs from Farringdon,05:49,06:19,06:49,07:19,07:49,08:19,08:49,09:19,09:49,10:19,10:49,11:19,11:49,12:19,12:49,13:19,13:49,14:19,14:49,15:19,15:49,16:19,16:49,17:19,17:49,18:19,18:49,19:19,19:49,20:19,20:49,21:19,21:49,22:19,22:49,23:19
Arrives at City Thameslink,05:50,06:20,06:50,07:20,07:50,08:20,08:50,09:20,09:50,10:20,10:50,11:20,11:50,12:20,12:50,13:20,13:50,14:20,14:50,15:20,15:50,16:20,16:50,17:20,17:50,18:20,18:50,19:20,19:50,20:20,20:50,21:20,21:50,22:20,22:50,23:20
Departs from City Thameslink,05:51,06:21,06:51,07:21,07:51,08:21,08:51,09:21,09:51,10:21,10:51,11:21,11:51,12:21,12:51,13:21,13:51,14:21,14:51,15:21,15:51,16:21,16:51,17:21,17:51,18:21,18:51,19:21,19:51,20:21,20:51,21:21,21:51,22:21,22:51,23:21
Arrives at Blackfriars,05:53,06:23,06:53,07:23,07:53,08:23,08:53,09:23,09:53,10:23,10:53,11:23,11:53,12:23,12:53,13:23,13:53,14:23,14:53,15:23,15:53,16:23,16:53,17:23,17:53,18:23,18:53,19:23,19:53,20:23,20:53,21:23,21:53,22:23,22:53,23:23
